gene_symbol,module,P2A1,P2A2,P2A3,F1A3,F1A4,F351,F352,F451,F452,F453
XRCC3,BLM–BTRR / HR,-0.31977803392922766,-0.33980865149181444,-2.378980753884977,0.08025531479400595,-0.43168563633931883,0.1961357745132462,1.11626952905238,0.47716629745128863,1.06196939059456,0.5384567692399123
ATR,ATR checkpoint,-0.43150144306813826,-0.04409435157844971,1.727964423296199,-0.8925138385267467,-1.9200291771586169,0.8200889694800386,0.4514863386169455,0.6306211535298425,-0.09907450048776982,-0.24294757410335055
ATRIP,ATR checkpoint,-0.9369891785201337,-1.0440726657269719,0.5082343351313835,-0.37034749817631163,0.5855461625607713,-0.9909324034157717,1.1499871983584031,-1.0696144319003085,1.5814002669465685,0.5867882147425395
CHEK1,ATR checkpoint,-0.4574261304469711,-0.08171026663365663,2.517607722007479,-0.7510022533578256,-0.35512741304347684,0.9220857402930093,-0.30511713353231246,-0.3041499153127035,-0.68603600778983,-0.4991243421835697
CLSPN,ATR checkpoint,-0.03378014984264309,-0.07508879601454435,2.008955547297811,-0.4173943586518908,-1.9677860155401785,0.2334591129178721,0.1045845862150491,-0.6459473939942435,0.15795449380585094,0.6350429738069251
TOPBP1,ATR checkpoint,-0.4181922431938869,-0.25891100322540056,1.7813181562740994,-0.9230656174571569,-1.925140498267733,0.7454231880496047,0.08894295866088502,0.6413203491359458,0.04493964301468463,0.22336506700892206
TIMELESS,ATR checkpoint,-1.0622680860209368,0.0004702211335721581,1.0818036424732331,-0.8025656453757339,-1.26551245437118,0.061478309747844004,1.783351942492871,0.22165333946946214,0.7725329278075166,-0.7909441973564534
TIPIN,ATR checkpoint,-0.12254030497415909,-0.28731669706442065,1.0696201820618922,0.8649354058557438,1.8786492815120306,-1.1576483050854782,-0.29917414421274424,-1.373750816830167,-0.2901176251533652,-0.28265697610941476
WEE1,ATR checkpoint,0.5784000742765575,0.08516963616161939,0.10265062624167404,-0.4219961125798809,-1.9512790665519884,1.8093775730933361,0.17889849678523514,0.768874004067111,-0.3473274009638876,-0.8027678305294501
CDC25A,ATR checkpoint,-1.134862069071092,-1.036111651620786,0.6586615532890839,-0.39581321799995833,-1.231543497018385,1.0124833910995104,0.16522676325861888,-0.5376759445190762,1.0684978266740044,1.4311368459080176
RAD17,ATR checkpoint,0.8789768268095897,0.798365575380984,0.4443892387458375,-1.973098210742087,-1.2729200186505674,1.062822461653597,0.5383194131804925,-0.006473056929638211,0.18256325712101656,-0.6529454865692819
FANCD2,Fork protection / FA,0.565977466603048,-0.008435239046425333,0.8617368980368855,1.6759282371077013,0.5413018446561715,0.018694778112228472,-0.2070952836909894,-0.4144313474760437,-1.4202097694483506,-1.6134675848542561
